강좌명,차시명,링크,
테일봇,📌테일봇! 너는 누구니?,1차시. 테일봇! 너는 누구니? – 크레용스쿨,https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%ed%85%8c%ec%9d%bc%eb%b4%87-%eb%84%88%eb%8a%94-%eb%88%84%ea%b5%ac%eb%8b%88/
테일봇,📌개구리는 어떻게 자랄까?,8차시. 개구리는 어떻게 자랄까? – 크레용스쿨,https://crayonschool.co.kr/lessons/8%ec%b0%a8%ec%8b%9c-%ea%b0%9c%ea%b5%ac%eb%a6%ac%eb%8a%94-%ec%96%b4%eb%96%bb%ea%b2%8c-%ec%9e%90%eb%9e%84%ea%b9%8c/
테일봇,📌맛있는 모양간식을 찾아보자!,2차시. 맛있는 모양간식을 찾아보자! – 크레용스쿨,https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%eb%a7%9b%ec%9e%88%eb%8a%94-%eb%aa%a8%ec%96%91%ea%b0%84%ec%8b%9d%ec%9d%84-%ec%b0%be%ec%95%84%eb%b3%b4%ec%9e%90/
테일봇,📌상한 과일을 피해서 맛있는 과일을 얻자!,3차시. 상한 과일을 피해서 맛있는 과일을 얻자! – 크레용스쿨,https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%ec%83%81%ed%95%9c-%ea%b3%bc%ec%9d%bc%ec%9d%84-%ed%94%bc%ed%95%b4%ec%84%9c-%eb%a7%9b%ec%9e%88%eb%8a%94-%ea%b3%bc%ec%9d%bc%ec%9d%84-%ec%96%bb%ec%9e%90/
테일봇,📌과일의 수를 세보자!,4차시. 과일의 수를 세보자! – 크레용스쿨,https://crayonschool.co.kr/lessons/4%ec%b0%a8%ec%8b%9c-%ea%b3%bc%ec%9d%bc%ec%9d%98-%ec%88%98%eb%a5%bc-%ec%84%b8%eb%b3%b4%ec%9e%90/
테일봇,📌동물원에 가보자!,9차시. 동물원에 가보자! – 크레용스쿨,https://crayonschool.co.kr/lessons/9%ec%b0%a8%ec%8b%9c-%eb%8f%99%eb%ac%bc%ec%9b%90%ec%97%90-%ea%b0%80%eb%b3%b4%ec%9e%90/
테일봇,📌해바라기는 어떻게 자랄까?,5차시. 해바라기는 어떻게 자랄까? – 크레용스쿨,https://crayonschool.co.kr/lessons/5%ec%b0%a8%ec%8b%9c-%ed%95%b4%eb%b0%94%eb%9d%bc%ea%b8%b0%eb%8a%94-%ec%96%b4%eb%96%bb%ea%b2%8c-%ec%9e%90%eb%9e%84%ea%b9%8c/
3D입체퍼즐 큐블로와 신나는 파닉스 여행,📌드래곤의 생일파티 (ABCD),1차시. 드래곤의 생일파티 (ABCD) – 크레용스쿨,https://crayonschool.co.kr/lessons/1%ec%b0%a8%ec%8b%9c-%eb%93%9c%eb%9e%98%ea%b3%a4%ec%9d%98-%ec%83%9d%ec%9d%bc%ed%8c%8c%ed%8b%b0-abcd/
3D입체퍼즐 큐블로와 신나는 파닉스 여행,📌동물들이 춤을 춰요! (EFGH),2차시. 동물들이 춤을 춰요! (EFGH) – 크레용스쿨,https://crayonschool.co.kr/lessons/2%ec%b0%a8%ec%8b%9c-%eb%8f%99%eb%ac%bc%eb%93%a4%ec%9d%b4-%ec%b6%a4%ec%9d%84-%ec%b6%b0%ec%9a%94-efgh/
3D입체퍼즐 큐블로와 신나는 파닉스 여행,📌눈 떠보니 남극!? (IJKL),3차시. 눈 떠보니 남극!? (IJKL) – 크레용스쿨,https://crayonschool.co.kr/lessons/3%ec%b0%a8%ec%8b%9c-%eb%88%88-%eb%96%a0%eb%b3%b4%eb%8b%88-%eb%82%a8%ea%b7%b9-ijkl/
